,SAMPN,RESTY,HHSIZ,HHLIC,INCOM_R,HHVEH_R
5582,3268818,1,3,3,4,3
5583,3268865,2,1,0,1,0
5584,3268890,1,2,2,1,2
5585,3268891,2,3,2,2,1
5586,3268929,1,2,2,2,3
5587,3269026,1,2,2,9,0
5588,3269046,2,2,1,2,1
5589,3269142,1,6,2,4,2
5590,3269157,1,2,2,4,1
5591,3269251,2,2,1,2,1
5592,3269296,1,1,1,2,1
5593,3269327,1,1,0,4,0
5594,3269363,1,3,3,4,3
5595,3269438,1,1,1,2,1
5596,3269447,1,4,2,4,2
5597,3269493,2,6,0,1,0
5598,3269522,2,2,1,2,1
5599,3269540,1,4,3,4,3
5600,3269553,2,2,0,9,0
5601,3269561,1,2,2,4,2
5602,3269589,2,2,2,4,0
5603,3269616,1,4,2,4,2
5604,3269625,1,4,2,4,2
5605,3269645,1,4,2,2,2
5606,3269662,1,3,1,2,1
5607,3269666,2,1,1,9,1
5608,3269686,2,1,0,2,0
5609,3269698,1,2,2,4,3
5610,3269731,2,1,0,1,0
5611,3269753,2,2,2,3,0
5612,3269771,1,2,2,4,3
5613,3269804,2,1,1,1,1
5614,3269823,2,2,2,4,2
5615,3269840,1,4,2,3,2
5616,3269841,2,3,2,2,2
5617,3269863,2,1,1,4,0
5618,3269915,1,3,1,1,2
5619,3269934,1,2,2,4,2
5620,3269978,2,1,1,1,1
5621,3269991,1,2,1,4,1
5622,3270020,1,1,1,1,1
5623,3270046,1,5,2,3,1
5624,3270056,2,1,1,2,1
5625,3270091,2,1,1,9,1
5626,3270172,1,3,3,4,3
5627,3270305,3,1,1,3,1
5628,3270307,1,1,1,3,1
5629,3270350,1,4,4,3,3
5630,3270357,2,2,2,4,2
5631,3270402,2,1,1,1,1
5632,3270405,1,2,2,9,2
5633,3270413,2,1,1,2,1
5634,3270451,1,4,2,4,3
5635,3270482,2,1,0,1,0
5636,3270487,2,1,1,2,1
5637,3270535,2,3,2,4,2
5638,3270543,2,1,1,2,1
5639,3270559,1,4,2,4,2
5640,3270562,1,1,1,3,2
5641,3270570,1,3,2,4,3
5642,3270596,2,2,2,2,1
5643,3270600,1,3,2,1,2
5644,3270639,1,2,2,4,3
5645,3270655,2,1,1,2,1
5646,3270695,1,3,2,3,2
5647,3270761,1,1,1,3,1
5648,3270794,1,3,1,2,3
5649,3270829,1,1,1,2,1
5650,3270871,1,2,2,2,2
5651,3270972,1,3,3,2,3
5652,3271045,1,4,2,4,3
5653,3271103,1,4,2,2,2
5654,3271234,1,1,1,4,2
5655,3271237,1,1,1,4,1
5656,3271315,2,1,1,2,1
5657,3271316,1,1,1,3,1
5658,3271335,2,1,1,9,0
5659,3271368,1,2,2,2,1
5660,3271411,2,2,2,4,1
5661,3271413,1,2,2,9,2
5662,3271462,1,2,2,4,2
5663,3271484,1,4,4,2,3
5664,3271507,1,3,3,4,3
5665,3271525,1,2,2,2,2
5666,3271533,2,1,0,1,0
5667,3271540,2,2,1,9,1
5668,3271578,1,5,5,2,3
5669,3271629,1,2,0,1,0
5670,3271742,1,2,1,9,1
5671,3271771,1,1,1,2,1
5672,3271806,2,1,1,1,2
5673,3271830,1,4,4,4,3
5674,3271879,2,1,1,2,1
5675,3271892,2,1,0,1,0
5676,3271907,2,3,1,2,1
5677,3271953,1,2,2,4,2
5678,3272022,1,4,4,4,3
5679,3272050,1,2,2,1,1
5680,3272078,3,2,1,2,2
5681,3272107,1,2,2,3,2
5682,3272118,1,2,2,4,3
5683,3272147,2,2,2,2,2
5684,3272165,1,5,2,4,2
5685,3272177,1,3,1,2,1
5686,3272208,2,2,1,1,1
5687,3272229,1,2,2,4,3
5688,3272242,1,4,3,4,3
5689,3272245,1,2,2,4,2
5690,3272266,1,3,3,4,2
5691,3272309,2,1,1,1,1
5692,3272359,1,2,1,4,1
5693,3272390,1,4,2,4,3
5694,3272396,2,1,0,1,1
5695,3272411,2,1,1,2,1
5696,3272417,2,4,0,4,0
5697,3272444,1,1,1,9,1
5698,3272462,2,2,0,3,0
5699,3272508,2,1,1,1,1
5700,3272524,2,1,1,4,1
5701,3272558,1,3,2,4,2
5702,3272585,2,1,1,2,1
5703,3272600,1,5,2,3,3
5704,3272614,1,2,2,3,2
5705,3272637,2,1,1,2,1
5706,3272647,1,3,3,2,3
5707,3272671,1,3,2,2,1
5708,3272697,1,3,2,4,2
5709,3272708,1,2,2,4,1
5710,3272710,1,4,2,9,2
5711,3272761,1,4,2,4,2
5712,3272777,2,1,0,2,0
5713,3272828,1,3,3,4,3
5714,3272894,2,1,1,2,1
5715,3272934,1,3,3,2,3
5716,3272942,1,3,3,4,3
5717,3272950,2,1,1,1,0
5718,3272961,2,1,1,4,0
5719,3273015,1,2,2,4,3
5720,3273021,2,1,1,1,1
5721,3273033,1,1,0,2,0
5722,3273080,2,1,1,1,0
5723,3273098,1,3,2,4,2
5724,3273124,1,2,1,1,1
5725,3273139,1,1,1,1,1
5726,3273178,2,2,0,4,0
5727,3273201,1,2,2,4,3
5728,3273209,1,3,2,4,2
5729,3273223,2,2,1,3,1
5730,3273237,2,1,1,4,1
5731,3273246,2,3,2,4,0
5732,3273247,1,2,1,9,1
5733,3273279,1,3,2,4,2
5734,3273288,1,2,2,2,3
5735,3273299,2,2,2,3,2
5736,3273320,2,3,2,4,0
5737,3273367,1,2,2,2,2
5738,3273370,1,1,1,2,1
5739,3273380,1,2,2,4,2
5740,3273388,2,4,2,3,1
5741,3273442,1,2,2,2,2
5742,3273448,1,3,2,4,2
5743,3273453,1,2,2,4,1
5744,3273464,1,2,2,2,2
5745,3273466,1,4,4,3,3
5746,3273552,2,1,0,1,0
5747,3273561,2,2,2,2,1
5748,3273563,2,2,2,4,1
5749,3273582,1,1,1,3,2
5750,3273608,1,2,2,4,1
5751,3273617,2,2,2,4,1
5752,3273671,1,2,2,4,3
5753,3273774,2,2,1,3,0
5754,3273846,1,2,1,4,1
5755,3273856,1,3,2,4,2
5756,3273909,1,3,1,2,3
5757,3273921,1,3,3,4,3
5758,3273922,2,1,1,3,1
5759,3273962,1,2,2,4,2
5760,3273967,2,2,2,1,1
5761,3273999,2,5,2,3,2
5762,3274024,2,1,1,2,2
5763,3274028,1,2,1,4,1
5764,3274029,2,1,1,2,1
5765,3274043,2,2,2,4,1
5766,3274053,1,1,1,1,1
5767,3274064,2,2,2,2,2
5768,3274098,2,1,0,1,0
5769,3274103,1,2,2,2,2
5770,3274155,2,1,1,3,1
5771,3274210,1,4,2,4,2
5772,3274219,2,2,2,1,1
5773,3274233,1,3,2,4,3
5774,3274316,2,4,2,1,1
5775,3274340,2,1,1,4,1
5776,3274413,2,2,2,4,1
5777,3274421,2,2,2,4,1
5778,3274447,1,3,3,2,3
5779,3274565,1,5,3,3,3
5780,3274625,2,1,1,1,1
5781,3274629,1,1,1,2,3
5782,3274667,1,5,2,4,2
5783,3274669,1,2,2,2,2
5784,3274686,1,3,2,2,3
5785,3274725,2,1,1,4,1
5786,3274732,1,2,2,4,2
5787,3274785,2,2,2,4,0
5788,3274807,1,1,1,1,1
5789,3274863,1,2,2,4,2
5790,3274864,1,1,0,1,0
5791,3274899,1,2,2,2,2
5792,3274914,1,2,1,2,1
5793,3274940,1,1,1,3,1
5794,3274987,1,1,1,1,1
5795,3275012,2,1,0,1,0
5796,3275019,1,4,2,4,2
5797,3275032,1,1,1,1,1
5798,3275034,1,4,2,2,2
5799,3275152,1,1,1,1,1
5800,3275158,1,2,2,4,2
5801,3275217,2,3,0,1,0
5802,3275223,1,2,2,4,2
5803,3275260,2,3,3,1,1
5804,3275268,2,4,2,4,0
5805,3275301,1,3,3,4,3
5806,3275362,2,2,2,1,0
5807,3275384,1,1,1,3,1
5808,3275392,1,1,1,2,1
5809,3275394,2,4,2,4,0
5810,3275438,1,5,2,4,2
5811,3275521,1,3,3,4,3
5812,3275549,1,3,3,1,3
5813,3275567,1,3,2,4,3
5814,3275589,1,2,2,4,2
5815,3275591,1,3,1,2,1
5816,3275619,1,4,4,3,3
5817,3275632,1,1,1,2,1
5818,3275680,1,1,1,2,1
5819,3275701,1,2,2,4,3
5820,3275719,2,4,1,2,1
5821,3275723,2,2,2,4,1
5822,3275747,1,1,1,4,1
5823,3275802,1,2,2,3,2
5824,3275813,1,1,1,9,1
5825,3275839,1,2,2,4,3
5826,3275876,1,3,3,4,3
5827,3275888,2,1,1,2,1
5828,3275893,1,4,2,3,1
5829,3275942,1,2,1,2,1
5830,3275986,1,7,1,1,1
5831,3276009,2,2,1,2,0
5832,3276041,1,1,1,4,1
5833,3276049,2,1,1,1,0
5834,3276060,1,1,1,4,1
5835,3276062,2,1,1,3,1
5836,3276119,1,2,2,2,3
5837,3276120,2,3,2,2,1
5838,3276145,1,2,1,2,1
5839,3276153,1,4,2,4,3
5840,3276179,1,4,2,2,3
5841,3276233,2,3,2,4,0
5842,3276266,1,2,2,4,2
5843,3276305,1,1,1,2,1
5844,3276317,1,3,3,3,3
5845,3276328,2,2,2,2,2
5846,3276334,2,3,2,2,2
5847,3276360,3,2,2,9,1
5848,3276394,1,2,2,2,2
5849,3276407,1,1,1,1,1
5850,3276412,1,4,4,3,3
5851,3276434,1,2,2,3,2
5852,3276440,1,1,0,1,1
5853,3276444,1,4,2,3,2
5854,3276459,1,5,2,9,2
5855,3276460,2,1,1,1,0
5856,3276479,2,2,0,1,0
5857,3276485,2,1,1,2,0
5858,3276500,1,2,2,2,2
5859,3276533,1,2,2,4,3
5860,3276544,2,2,1,2,1
5861,3276555,2,2,2,3,1
5862,3276577,2,1,1,4,0
5863,3276588,2,2,1,4,1
5864,3276590,1,2,1,9,1
5865,3276601,1,3,3,4,3
5866,3276616,1,2,2,9,1
5867,3276642,1,3,3,9,2
5868,3276678,2,1,1,2,1
5869,3276696,2,2,2,2,1
5870,3276699,1,2,0,1,0
5871,3276731,1,2,1,9,1
5872,3276759,2,1,1,2,1
5873,3276792,1,5,2,4,2
5874,3276814,1,2,2,2,2
5875,3276829,1,4,2,4,2
5876,3276838,2,4,2,4,1
5877,3276859,1,3,2,2,3
5878,3276876,1,4,3,9,2
5879,3276909,1,2,2,9,2
5880,3276931,2,2,0,1,0
5881,3277041,2,1,1,2,1
5882,3277044,1,2,2,4,2
5883,3277065,2,2,1,1,0
5884,3277072,1,2,2,2,2
5885,3277095,2,1,1,4,0
5886,3277194,2,1,1,1,1
5887,3277196,1,2,2,4,1
5888,3277212,1,2,2,4,2
5889,3277252,2,3,1,2,0
5890,3277271,1,2,2,3,2
5891,3277291,2,1,1,2,0
5892,3277317,1,2,2,2,2
5893,3277347,1,3,2,4,2
5894,3277385,1,4,2,4,2
5895,3277388,2,2,2,4,1
5896,3277401,1,2,2,4,3
5897,3277406,1,2,2,4,2
5898,3277460,1,3,2,2,2
5899,3277468,1,1,1,3,2
5900,3277474,2,1,1,1,1
5901,3277495,2,1,0,4,0
5902,3277523,2,1,1,2,1
5903,3277525,1,2,2,4,3
5904,3277552,2,1,0,1,0
5905,3277553,1,1,1,1,0
5906,3277558,2,2,1,1,0
5907,3277569,2,4,2,4,1
5908,3277618,1,1,1,2,2
5909,3277637,2,4,2,4,2
5910,3277644,2,1,0,2,0
5911,3277706,2,1,1,1,2
5912,3277736,2,3,2,2,0
5913,3277751,1,2,2,9,2
5914,3277752,1,4,3,4,2
5915,3277767,1,2,2,2,1
5916,3277801,2,1,1,2,1
5917,3277892,1,2,2,2,1
5918,3277893,2,2,0,2,0
5919,3277913,1,4,2,3,2
5920,3277935,2,1,1,2,1
5921,3277937,1,2,2,4,3
5922,3277990,1,2,2,2,0
5923,3278047,2,1,1,2,0
5924,3278051,1,1,1,2,1
5925,3278053,1,1,1,4,1
5926,3278056,2,2,2,1,1
5927,3278142,1,3,3,4,3
5928,3278235,1,4,2,4,2
5929,3278320,2,2,1,9,1
5930,3278351,1,3,2,9,2
5931,3278426,1,4,2,4,3
5932,3278446,2,4,0,1,0
5933,3278474,1,2,1,1,2
5934,3278491,2,1,0,9,0
5935,3278501,1,2,1,2,1
5936,3278527,1,2,2,2,2
5937,3278565,1,3,3,4,3
5938,3278574,2,1,0,9,0
5939,3278577,1,3,2,4,2
5940,3278601,1,3,1,9,2
5941,3278636,1,1,1,2,2
5942,3278709,2,2,2,2,2
5943,3278741,1,1,1,2,1
5944,3278755,1,1,1,3,1
5945,3278782,1,4,2,2,2
5946,3278866,1,3,3,2,2
5947,3279005,1,3,2,3,2
5948,3279070,2,2,1,3,1
5949,3279105,1,4,4,3,3
5950,3279149,2,2,2,4,0
5951,3279155,2,1,1,2,0
5952,3279211,1,3,2,4,3
5953,3279213,2,2,0,1,0
5954,3279225,2,4,1,4,0
5955,3279275,1,2,2,4,3
5956,3279282,2,4,2,4,2
5957,3279284,1,3,2,9,2
5958,3279307,1,3,2,4,2
5959,3279371,2,2,1,1,0
5960,3279383,1,5,2,2,2
5961,3279419,2,1,1,1,1
5962,3279429,2,1,1,2,1
5963,3279436,1,2,2,2,1
5964,3279458,1,2,1,2,1
5965,3279508,1,4,2,4,2
5966,3279682,2,1,1,4,1
5967,3279694,1,2,2,3,3
5968,3279706,2,2,1,1,1
5969,3279750,1,3,2,1,2
5970,3279881,2,1,1,3,0
5971,3279896,2,2,2,3,2
5972,3279911,2,2,2,4,2
5973,3279928,1,3,2,3,2
5974,3279944,1,2,2,2,1
5975,3279947,2,1,1,9,0
5976,3279979,2,2,2,2,0
5977,3280033,1,1,1,9,3
5978,3280054,1,2,2,4,2
5979,3280075,1,3,2,9,3
5980,3280078,1,5,2,4,2
5981,3280109,1,2,2,4,2
5982,3280122,1,5,4,2,3
5983,3280178,1,4,2,9,2
5984,3280180,2,5,3,1,0
5985,3280184,1,3,2,3,2
5986,3280226,1,4,2,3,2
5987,3280241,1,4,3,4,3
5988,3280276,2,1,1,1,1
5989,3280301,2,2,2,3,2
5990,3280307,1,1,1,9,1
5991,3280337,1,3,2,4,1
5992,3280347,2,1,1,4,0
5993,3280382,2,3,1,1,0
5994,3280408,1,4,2,9,3
5995,3280438,2,2,1,1,1
5996,3280459,2,2,2,4,2
5997,3280946,1,4,2,4,2
5998,3281014,1,2,2,4,3
5999,3281571,1,3,2,4,1
6000,3281605,2,5,0,1,0
6001,3281674,1,2,2,4,2
6002,3282350,2,1,1,1,0
6003,3282368,2,1,1,3,2
6004,3283442,2,1,1,1,0
6005,3283658,2,4,2,4,1
6006,3283673,2,1,1,2,1
6007,3283777,2,3,1,4,1
6008,3284124,1,4,2,4,2
6009,3284533,2,2,2,9,2
6010,3284596,2,3,1,3,0
6011,3284640,2,1,1,3,2
6012,3284678,2,2,1,2,0
6013,3284928,1,2,2,4,2
6014,3285035,2,2,1,2,0
6015,3285551,1,2,2,9,2
6016,3285558,1,2,2,2,2
6017,3285991,2,1,1,4,1
6018,3286046,2,1,1,2,1
6019,3286290,2,2,2,4,3
6020,3286410,2,1,1,1,0
6021,3286469,2,1,1,2,1
6022,3287267,2,1,0,1,0
6023,3287420,2,1,1,3,1
6024,3287598,2,1,1,2,0
6025,3287603,2,1,1,9,1
6026,3287632,1,5,2,4,2
6027,3287883,1,5,2,4,2
6028,3288052,2,1,1,4,0
6029,3288247,1,3,2,4,2
6030,3288258,2,3,2,3,2
6031,3288263,2,1,1,1,0
6032,3288788,1,4,3,4,2
6033,3288909,2,1,1,1,0
6034,3288997,2,1,1,2,1
6035,3289067,2,3,2,2,1
6036,3289151,1,3,1,2,1
6037,3289535,1,2,2,2,3
6038,3289610,2,2,1,4,1
6039,3289700,2,1,1,1,1
6040,3289873,2,1,1,2,0
6041,3289919,2,1,1,3,0
6042,3290234,1,2,1,2,1
6043,3290397,1,3,2,4,2
6044,3290457,1,4,3,4,3
6045,3290644,1,2,2,4,3
6046,3291401,1,3,0,2,1
6047,3291635,2,2,1,2,2
6048,3292007,2,4,2,1,2
6049,3292466,2,1,1,2,1
6050,3292498,1,3,2,4,1
6051,3292991,2,4,2,2,2
6052,3293036,2,2,2,4,0
6053,3293308,1,4,2,4,2
6054,3293580,2,1,0,2,0
6055,3293603,1,4,3,2,3
6056,3294018,1,2,2,4,2
6057,3294638,2,1,1,2,0
6058,3294660,2,2,2,4,1
6059,3294769,2,1,1,2,1
6060,3295221,2,1,0,1,0
6061,3295347,1,3,2,3,3
6062,3295567,1,1,1,2,1
6063,3296395,9,2,2,2,2
6064,3296571,2,2,2,2,2
6065,3296750,1,2,2,4,3
6066,3297090,2,3,3,9,3
6067,3297890,2,1,1,2,0
6068,3298087,1,2,2,4,2
6069,3298159,2,2,2,3,0
6070,3298602,2,1,1,9,1
6071,3298617,2,1,1,4,1
6072,3298618,2,3,1,2,0
6073,3298703,2,4,2,2,2
6074,3298995,1,2,2,4,1
6075,3299041,1,4,2,4,3
6076,3299945,2,2,2,2,0
6077,3300082,1,2,2,4,3
6078,3300195,2,1,1,4,1
6079,3300201,2,2,1,2,0
6080,3300508,2,1,1,2,0
6081,3300538,2,1,1,4,0
6082,3300605,1,3,2,2,2
6083,3300894,1,3,2,3,2
6084,3300956,1,1,1,4,1
6085,3301087,2,2,2,4,2
6086,3301335,1,3,2,2,2
6087,3301337,1,4,2,9,2
6088,3301398,2,3,3,2,2
6089,3301558,2,4,2,9,1
6090,3301565,2,3,3,4,3
6091,3301806,1,3,1,1,0
6092,3301983,2,1,1,1,1
6093,3302065,2,2,2,4,0
6094,3302092,2,3,2,3,2
6095,3302132,2,1,1,3,1
6096,3302349,2,2,2,2,0
6097,3302685,2,2,2,2,1
6098,3303193,1,1,1,2,2
6099,3303457,2,1,1,4,0
6100,3303507,2,2,2,4,2
6101,3303983,1,4,2,2,1
6102,3304112,2,4,2,2,1
6103,3304308,2,2,2,9,0
6104,3305027,2,2,0,1,0
6105,3305173,2,1,1,2,0
6106,3305233,1,2,2,4,2
6107,3305611,2,1,1,2,1
6108,3305748,1,3,2,4,3
6109,3306431,1,1,1,1,1
6110,3306893,1,2,2,2,2
6111,3307041,2,1,1,4,2
6112,3307324,2,1,1,2,0
6113,3308298,2,2,2,9,2
6114,3308302,2,1,1,4,1
6115,3308842,2,2,0,1,0
6116,3309688,2,1,1,4,0
6117,3309710,2,1,1,2,1
6118,3309784,1,1,1,2,1
6119,3309842,2,3,2,2,1
6120,3309859,2,2,1,4,1
6121,3309984,2,1,1,2,0
6122,3310464,1,3,3,3,2
6123,3311235,2,2,0,1,0
6124,3311241,1,2,2,3,2
6125,3311663,2,2,2,4,2
6126,3312135,1,1,1,4,1
6127,3312404,2,1,1,1,1
6128,3312411,2,4,2,3,1
6129,3312580,2,1,1,2,1
6130,3312755,1,1,1,9,2
6131,3312760,2,1,1,2,0
6132,3312928,2,2,2,4,1
6133,3313103,2,2,2,2,2
6134,3313314,2,2,0,1,0
6135,3313464,1,2,2,2,2
6136,3313597,2,1,1,2,0
6137,3313669,1,2,2,4,2
6138,3314171,2,1,0,2,0
6139,3314422,1,1,1,2,1
6140,3314568,2,1,1,2,1
6141,3315086,2,1,1,1,1
6142,3315105,2,1,1,2,0
6143,3315108,2,2,2,2,3
6144,3315416,1,2,2,4,3
6145,3315476,2,2,1,4,1
6146,3315562,2,2,2,4,0
6147,3316118,2,2,2,4,0
6148,3316392,2,1,1,1,1
6149,3316512,2,1,1,2,0
6150,3316704,2,2,1,2,2
6151,3316786,2,1,1,2,0
6152,3317112,2,1,1,3,1
6153,3317246,2,2,2,4,2
6154,3317401,2,1,1,2,1
6155,3317528,1,3,2,3,2
6156,3317624,1,1,1,2,1
6157,3317626,2,4,2,1,1
6158,3317985,1,2,2,4,1
6159,3318161,2,1,0,1,0
6160,3319257,2,2,2,4,2
6161,3319406,2,1,1,4,0
6162,3319454,2,3,2,3,0
6163,3319742,2,1,1,4,0
6164,3320395,2,2,0,1,0
6165,3320737,1,3,3,9,3
6166,3320793,2,1,1,2,0
6167,3320949,1,2,2,4,3
6168,3321003,1,2,2,2,2
6169,3321016,1,4,4,2,3
6170,3321027,1,1,1,2,1
6171,3321055,1,4,2,3,3
6172,3321123,1,4,4,2,3
6173,3321144,1,1,1,2,2
6174,3321181,2,1,1,4,1
6175,3321216,1,2,2,3,2
6176,3321218,1,2,2,3,2
6177,3321222,1,2,2,4,3
6178,3321298,1,4,3,4,3
6179,3321311,1,4,2,4,2
6180,3321429,1,6,3,2,2
6181,3321433,1,4,2,4,2
6182,3321579,1,2,2,9,2
6183,3321593,1,2,1,2,1
6184,3321685,1,3,3,3,3
6185,3321695,1,6,3,4,3
6186,3321713,1,4,2,4,2
6187,3321715,2,1,1,2,1
6188,3321893,2,1,1,1,1
6189,3321911,2,1,1,1,1
6190,3321923,1,2,2,2,3
6191,3321934,2,1,1,2,1
6192,3321949,2,1,1,1,0
6193,3321953,2,1,1,9,1
6194,3321973,1,2,2,3,3
6195,3322003,1,4,4,3,3
6196,3322036,1,2,2,2,3
6197,3322108,1,5,1,1,1
6198,3322130,1,2,2,9,3
6199,3322145,1,1,1,9,1
6200,3322160,1,4,2,4,2
6201,3322211,2,1,1,3,1
6202,3322244,1,5,2,4,2
6203,3322257,2,1,1,3,1
6204,3322303,1,2,2,4,2
6205,3322360,1,3,3,2,2
6206,3322373,1,5,5,4,3
6207,3322505,2,1,1,2,1
6208,3322535,2,2,2,2,2
6209,3322564,2,3,3,9,0
6210,3322584,1,2,2,1,2
6211,3322606,1,4,2,4,2
6212,3322609,1,1,1,1,2
6213,3322678,1,4,2,4,2
6214,3322679,1,2,2,4,2
6215,3322694,1,3,3,9,1
6216,3322728,1,5,3,4,3
6217,3322740,1,2,2,9,3
6218,3322757,1,2,2,2,2
6219,3322758,2,4,1,1,0
6220,3322768,1,3,3,4,3
6221,3322789,1,2,2,4,2
6222,3322792,1,2,2,3,2
6223,3322918,1,2,2,4,2
6224,3322929,2,1,1,3,1
6225,3322992,1,2,1,1,1
6226,3323010,1,2,2,4,2
6227,3323020,1,3,2,3,2
6228,3323078,2,4,1,2,1
6229,3323103,1,2,2,2,2
6230,3323162,1,3,3,3,3
6231,3323192,1,2,2,4,3
6232,3323284,1,5,3,1,2
6233,3323299,1,5,2,4,2
6234,3323328,1,3,1,1,1
6235,3323341,2,2,1,2,1
6236,3323352,1,2,2,2,2
6237,3323434,1,2,2,4,2
6238,3323474,1,1,1,1,1
6239,3323488,1,3,3,4,3
6240,3323619,1,2,2,2,2
6241,3323624,1,1,1,1,1
6242,3323635,1,2,2,1,2
6243,3323666,1,1,1,2,1
6244,3323674,1,2,2,4,1
6245,3323687,1,2,2,9,2
6246,3323789,1,1,1,2,1
6247,3323860,1,3,3,4,2
6248,3323902,1,4,2,2,2
6249,3323903,1,3,2,2,2
6250,3323959,1,5,2,9,3
6251,3323960,1,2,2,2,2
6252,3323975,1,3,3,4,3
6253,3324086,1,1,1,2,1
6254,3324150,1,2,2,2,2
6255,3324217,1,2,2,3,2
6256,3324234,1,4,2,3,3
6257,3324240,1,3,2,3,2
6258,3324249,1,3,2,2,2
6259,3324341,1,4,3,2,3
6260,3324356,1,2,2,2,2
6261,3324359,1,1,1,3,3
6262,3324368,1,3,2,2,2
6263,3324399,2,1,1,2,2
6264,3324423,1,5,4,4,3
6265,3324430,1,4,4,4,3
6266,3324451,1,2,2,2,2
6267,3324459,1,3,2,2,2
6268,3324463,1,2,2,2,2
6269,3324477,2,1,1,4,1
6270,3324560,1,3,3,3,3
6271,3324564,1,3,2,9,2
6272,3324606,1,4,2,4,2
6273,3324608,1,2,2,4,2
6274,3324727,1,3,3,4,3
6275,3324783,2,4,1,1,0
6276,3324853,2,3,0,1,0
6277,3324946,2,1,1,2,0
6278,3324949,2,2,1,1,3
6279,3324977,2,3,2,2,1
6280,3324993,2,2,2,1,1
6281,3325044,2,2,1,2,1
6282,3325046,1,3,3,4,1
6283,3325160,1,2,2,4,2
6284,3325178,1,1,1,2,1
6285,3325209,2,2,2,4,2
6286,3325251,2,5,4,1,2
6287,3325277,1,1,1,2,0
6288,3325283,2,3,1,3,0
6289,3325293,1,2,2,4,2
6290,3325345,1,2,2,3,1
6291,3325364,2,1,1,1,0
6292,3325388,2,1,1,1,2
6293,3325419,2,3,2,1,2
6294,3325430,2,1,1,2,1
6295,3325475,2,1,1,1,0
6296,3325547,2,6,1,1,1
6297,3325602,2,3,2,4,2
6298,3325615,2,2,2,2,0
6299,3325624,2,4,2,4,1
6300,3325641,1,2,2,4,2
6301,3325688,2,1,0,1,0
6302,3325729,1,4,1,3,0
6303,3325781,2,1,0,1,0
6304,3325871,1,3,2,4,1
6305,3325886,1,1,1,2,1
6306,3325927,1,2,2,3,2
6307,3325996,1,4,2,4,3
6308,3325997,2,1,1,4,2
6309,3326006,2,2,0,1,0
6310,3326061,2,1,1,4,1
6311,3326138,2,1,1,2,1
6312,3326255,1,4,2,2,2
6313,3326341,2,3,1,2,0
6314,3326350,2,2,1,1,0
6315,3326356,2,3,1,1,0
6316,3326432,1,5,3,1,1
6317,3326447,1,3,2,4,2
6318,3326453,2,1,0,1,0
6319,3326492,2,1,1,2,1
6320,3326499,2,1,0,1,0
6321,3326523,1,1,1,9,2
6322,3326532,1,2,2,4,1
6323,3326534,2,6,1,1,0
6324,3326690,2,1,0,1,0
6325,3326722,2,2,1,3,2
6326,3326753,1,3,0,9,0
6327,3326770,1,1,0,1,0
6328,3326774,1,5,2,3,1
6329,3326811,2,1,0,1,0
6330,3326824,2,3,2,4,2
6331,3326849,1,6,1,2,1
6332,3326891,2,1,1,2,0
6333,3326931,2,1,1,2,1
6334,3327066,2,1,1,1,1
6335,3327105,1,3,2,3,2
6336,3327182,3,3,3,1,2
6337,3327321,1,1,1,1,1
6338,3327322,2,2,2,4,2
6339,3327356,1,5,2,4,2
6340,3327417,2,1,0,1,0
6341,3327500,1,1,1,2,2
6342,3327608,2,1,1,3,1
6343,3327652,2,1,0,2,0
6344,3327726,2,1,1,2,1
6345,3327818,2,1,1,3,1
6346,3327862,1,3,2,2,2
6347,3327872,2,2,1,2,0
6348,3327941,1,3,2,2,2
6349,3327974,1,4,3,2,3
6350,3328046,1,2,2,9,2
6351,3328072,2,1,0,1,0
6352,3328077,1,5,2,4,2
6353,3328100,1,2,2,4,2
6354,3328117,2,2,1,1,0
6355,3328182,2,4,2,1,2
6356,3328218,1,2,2,1,2
6357,3328258,2,1,0,9,0
6358,3328453,1,2,2,9,2
6359,3328607,2,5,2,4,0
6360,3328631,2,1,1,2,0
6361,3328646,2,1,1,2,1
6362,3328661,1,4,1,1,1
6363,3328681,1,4,2,3,2
6364,3328781,2,2,2,4,2
6365,3328880,1,4,2,2,2
6366,3328900,2,2,2,2,1
6367,3328915,1,2,2,2,2
6368,3328929,1,1,0,2,1
6369,3328968,2,3,3,2,2
6370,3329035,1,2,1,2,2
6371,3329098,1,2,2,1,1
6372,3329104,2,1,1,4,1
6373,3329108,1,2,2,3,3
6374,3329140,2,3,2,4,1
6375,3329166,2,1,1,2,1
6376,3329218,2,1,0,1,0
6377,3329222,1,3,3,9,2
6378,3329249,1,4,2,3,2
6379,3329389,2,2,0,3,1
6380,3329517,2,2,2,4,1
6381,3329600,2,1,1,2,0
6382,3329655,1,1,1,4,1
6383,3329672,2,2,2,4,2
6384,3329778,2,3,2,1,3
6385,3329805,2,3,3,2,3
6386,3329822,1,2,2,3,2
6387,3329911,1,2,2,4,2
6388,3329944,2,4,1,2,1
6389,3329953,2,1,1,2,0
6390,3329978,2,1,1,2,1
6391,3330101,1,4,3,4,3
6392,3330113,2,1,1,4,0
6393,3330143,2,4,2,2,2
6394,3330219,2,1,1,1,0
6395,3330295,1,1,1,3,1
6396,3330307,2,1,1,2,1
6397,3330359,2,2,2,4,1
6398,3330376,2,4,2,4,0
6399,3330416,1,3,2,4,2
6400,3330440,2,1,0,3,0
6401,3330453,2,1,1,4,1
6402,3330463,1,4,2,4,2
