,SAMPN,CTFIP,BIN,RESTY,HHSIZ,INCOM,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,GEO_GROUP1,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC
36,3000827,9001,10,1,1,3,1,0,1,1,0,1,379.66667,FAIRFIELD,,Fairfield town,CT,6824,2542,9001061300,6,1,2,1,4
37,3000898,36059,17,1,1,3,0,0,0,0,0,1,256.625,BELLMORE,NORTH BELLMORE CDP,Hempstead town,NY,11710,1713,36059408500,3,1,2,0,6
38,3000938,34003,15,1,3,6,3,1,0,3,0,1,659.75,SADDLE RIVER,UPPER SADDLE RIVER BOROUGH,Upper Saddle River borough,NJ,7458,2723,34003053200,7,3,4,3,6
39,3001002,36027,18,1,2,99,0,0,1,0,1,1,222.5,WAPPINGERS FALLS,WAPPINGERS FALLS VILLAGE,Poughkeepsie town,NY,12590,2422,36027300000,5,2,9,0,3
40,3001008,9009,14,1,1,5,0,0,1,0,0,1,565.33333,WEST HAVEN,WEST HAVEN CITY,West Haven town,CT,6516,3447,9009155100,6,1,3,0,4
41,3001048,36079,21,1,2,99,2,0,0,2,0,1,71.04878,BREWSTER,BREWSTER HILL CDP,Southeast town,NY,10509,2304,36079011800,4,2,9,2,6
42,3001059,36005,13,2,1,4,0,0,1,0,0,1,609.5,BRONX,NEW YORK CITY,Bronx borough,NY,10468,873,36005040304,2,1,2,0,4
43,3001069,34039,17,1,2,6,2,0,2,2,0,1,286.5,ELIZABETH,ELIZABETH CITY,Elizabeth city,NJ,7208,3126,34039031802,8,2,4,2,2
44,3001073,34003,3,1,2,5,2,0,1,2,0,1,912.0,ENGLEWOOD CLIFFS,ENGLEWOOD CLIFFS BOROUGH,Englewood Cliffs borough,NJ,7632,2676,34003016000,7,2,3,2,4
45,3001135,34013,21,1,2,6,2,0,0,2,0,1,56.77778,CALDWELL,CALDWELL BOROUGH,Caldwell borough,NJ,8755,3121,34013021701,8,2,4,2,6
46,3001161,34037,14,1,2,4,2,0,2,2,0,1,258.83333,NEWTON,,Stillwater township,NJ,7860,3383,34037373900,11,2,2,2,2
47,3001181,36061,13,1,2,99,1,0,1,2,0,1,437.25,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10027,242,36061022600,1,2,9,1,4
48,3001190,36047,8,2,1,2,0,0,0,1,0,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,2,1,1,0,6
49,3001218,34029,15,1,2,4,2,1,1,2,0,1,265.6,LAKEWOOD,,Lakewood township,NJ,8701,3296,34029715700,10,2,2,2,4
50,3001293,36047,8,2,2,6,0,0,2,2,0,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,2,2,4,0,2
51,3001312,9009,14,1,4,99,2,2,2,2,1,1,250.0,BRANFORD,,Branford town,CT,6405,3510,9009184500,6,4,9,2,2
52,3001332,34035,6,1,1,4,1,0,0,1,0,1,501.125,SOMERSET,SOMERSET CDP,Franklin township,NJ,8873,3190,34035053105,9,1,2,1,6
53,3001346,36087,21,2,2,5,2,0,2,2,0,1,105.15385,SUFFERN,SUFFERN VILLAGE,Ramapo town,NY,10901,2291,36087011902,4,2,3,2,2
54,3001413,36059,17,1,2,99,2,0,0,2,0,1,398.16667,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1763,36059413500,3,2,9,2,6
55,3001535,34003,17,1,2,6,1,0,1,2,0,1,135.28571,LEONIA,LEONIA BOROUGH,Leonia borough,NJ,7605,2689,34003028001,7,2,4,1,4
56,3001559,34039,15,2,1,3,2,0,0,1,0,1,318.16667,CLARK,,Clark township,NJ,7066,3124,34039036301,8,1,2,2,6
57,3001621,36079,19,2,1,1,0,0,0,1,0,1,105.27778,MAHOPAC,MAHOPAC CDP,Carmel town,NY,10541,2308,36079011400,4,1,1,0,6
58,3001622,36071,18,2,1,2,0,0,0,1,0,1,172.66667,GOSHEN,GOSHEN VILLAGE,Goshen town,NY,10924,2351,36071012100,5,1,1,0,6
59,3001623,34031,16,1,4,7,2,2,2,2,2,1,249.25,WAYNE,,Wayne township,NJ,7470,2744,34031246001,7,4,4,2,1
60,3001633,34037,21,1,4,4,2,1,3,2,0,1,124.92857,VERNON,,Vernon township,NJ,7462,3385,34037371700,11,4,2,2,2
61,3001654,9009,2,1,1,4,1,0,1,1,0,1,1266.5,NORTHFORD,,North Branford town,CT,6472,3514,9009186200,6,1,2,1,4
62,3001670,36005,7,2,2,6,0,0,1,0,0,1,439.33333,BRONX,NEW YORK CITY,Bronx borough,NY,10462,915,36005021001,2,2,4,0,4
63,3001676,36085,17,1,3,6,3,1,2,3,0,1,179.875,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1604,36085012200,2,3,4,3,2
64,3001732,34013,14,2,2,4,1,0,1,1,0,1,658.5,NEWARK,NEWARK CITY,Newark city,NJ,7107,2910,34013000600,8,2,2,1,4
65,3001737,34027,15,1,2,8,3,0,1,2,0,1,187.57143,MOUNTAIN LAKES,MOUNTAIN LAKES BOROUGH,Mountain Lakes borough,NJ,7046,3168,34027041200,9,2,4,3,4
66,3001754,9001,1,1,2,5,2,0,2,2,0,1,1220.0,NEWTOWN,,Newtown town,CT,6470,2648,9001230300,6,2,3,2,2
67,3001776,36119,2,2,3,6,2,1,2,2,1,1,394.8,CORTLANDT MANOR,,Cortlandt town,NY,10567,2242,36119014606,4,3,4,2,1
68,3001818,36061,6,2,2,2,0,0,0,1,0,1,118.9,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10036,82,36061012100,1,2,1,0,6
